ID,一级领域,二级领域,模块一级,模块二级,计量单位,收费类型,包含许可数,基础价格（元/年）,价格阶梯,单价（元/年）,购买约束,许可购买说明,特殊许可说明,特殊物料说明
1,演唱会,看台区,599区域,,座位数,服务费用,,￥22711.02,,￥251.39,,,用户许可,
2,麦当劳,学生套餐,麦乐鸡块,,份,按使用量计费,,￥35371.91,,,必须购买“599区域”,能力的评价、市场和管理方面的指标及工,功能许可,预定制
3,植物园,休闲区,步行小道,,参观人数,定期收费,,￥21430.61,347-3614,￥124.42,必须购买“599区域”,发展，但是我们也要,,预定制
4,麦当劳,多人套餐,饮料,可乐,份,服务费用,4519,,378-3927,￥42972.77,,安全与法律有效衔接,,授权销售
5,植物园,教育区,种子培育区,,参观人数,按使用量计费,8152,￥71701.25,,￥44.38,必须购买“步行小道”,,用户许可,
6,厨房,清洁用品,洗洁精,,瓶/包/支/罐,一次性收费,1518,￥78771.02,548-6372,￥922.89,,简介(一)简介1、简介2,用户许可,授权销售
7,麦当劳,学生套餐,脆脆贡菜卷,,份,按使用量计费,,￥5374.04,249-6609,￥94.26,,,用户许可,限制销售地区
8,演唱会,看台区,799区域,,座位数,定期收费,7373,￥66868.33,,￥9.69,,主题的活动主持人、著名企业家、企,,预定制
9,厨房,清洁用品,洗洁精,,瓶/包/支/罐,定期收费,,￥3.41,,￥30755.35,必须购买“饮料”,联系我们，就请微信号：xin-18213,定制许可,
10,银行,线上银行服务,电子账单,,用户数,服务费用,5290,￥324.20,433-7701,,,学校，学校的图书馆也因,功能许可,授权销售
11,植物园,教育区,植物生态解说,,参观人数,一次性收费,,￥609.54,497-6440,￥96.52,,最后，这不仅能让你在短期,,
12,植物园,教育区,植物科普展示,,参观人数,按使用量计费,1338,￥45453.10,,￥711.07,,就是要找到一种感觉和身边人一起分享、交流,功能许可,授权销售
13,银行,其他服务,外汇服务,外汇兑换,用户数,一次性收费,8027,,,,,他的想法，这样的行,用户许可,限制购买数量
14,演唱会,看台区,799区域,,座位数,服务费用,,,,￥2.45,必须购买“麦乐鸡块”，“种子培育区”,,区间许可,预定制
15,演唱会,vip区,1399区域,,座位数,定期收费,,￥20524.37,334-8345,,必须购买“种子培育区”，“脆脆贡菜卷”，“植物生态解说”,,功能许可,限制销售地区
16,演唱会,看台区,799区域,,座位数,按使用量计费,1245,,,￥10038.61,必须购买“步行小道”，“植物生态解说”,,,预定制
17,植物园,休闲区,书店,,参观人数,按使用量计费,,,,,必须购买“植物生态解说”，“电子账单”，“799区域”,,,
18,演唱会,看台区,399区域,,座位数,定期收费,5170,￥9858.91,525-9229,,,电子显示屏在线选座实体电话：82330004qq群,区间许可,
19,演唱会,vip区,1599区域,,座位数,服务费用,8179,￥85909.19,,,,时间）而且这也是当局在最近出现的,定制许可,限制销售地区
20,厨房,刀具,砧板,,把,按使用量计费,,￥18803.50,,,必须购买“植物生态解说”,,,授权销售
21,厨房,刀具,砧板,,把,服务费用,,￥864.01,82-502,,必须购买“脆脆贡菜卷”，“种子培育区”,,定制许可,限制销售地区
22,厨房,刀具,砧板,,把,一次性收费,363,,529-2429,,,一起开会的人没有那么大的力量与,区间许可,限制购买数量
23,麦当劳,儿童套餐,玉米杯,,份,一次性收费,8825,￥6.57,,,,还有两小时后，他们可能回来了，,区间许可,预定制
24,银行,投资产品,保险产品,车险,产品数,按使用量计费,3365,,555-7376,,,,区间许可,限制购买数量
25,银行,财务服务,支票账户,个人支票账户,用户数,服务费用,9999,￥55.22,149-382,,必须购买“外汇服务”,,,授权销售
26,银行,其他服务,汇款服务,国际汇款,用户数,一次性收费,6641,￥171.26,,,必须购买“洗洁精”，“饮料”，“电子账单”,,用户许可,授权销售
